declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
1081,5,IL,Illinois                      ,0,2001-08-14T00:00:00.000Z,Major Disaster,IL-Chigago Flash Flood-08/02/2110,Flood,2001-08-02T00:00:00.000Z,2001-08-02T00:00:00.000Z,Turndown,2001-08-27T00:00:00.000Z,0,1,0,1,2001080302,2001-08-02T00:00:00.000Z,22e5e766-b0ff-424d-b1eb-33d9ce717839
1095,1,MA,Massachusetts                 ,0,2001-10-02T00:00:00.000Z,Emergency,Fires and Explosions,Fire,2001-09-11T00:00:00.000Z,,Turndown,2001-10-31T00:00:00.000Z,0,0,1,0,2001091102,2001-09-11T00:00:00.000Z,bd01f4fb-1275-42ef-95aa-f1808c6ced8d
1096,3,MD,Maryland                      ,0,2001-10-02T00:00:00.000Z,Major Disaster,Tornadoes and Severe Storms,Tornado,2001-09-24T00:00:00.000Z,2001-09-24T00:00:00.000Z,Turndown,2001-10-24T00:00:00.000Z,0,1,1,1,2001092501,2001-09-24T00:00:00.000Z,299bf537-1634-4994-af2f-711b701aec7c
1097,6,TX,Texas                         ,0,2001-10-03T00:00:00.000Z,Major Disaster,TX-Queen Isabel Bridge Collapse-9-15-01,Other,2001-09-15T00:00:00.000Z,,Turndown,2001-12-21T00:00:00.000Z,0,0,0,0,2001091501,2001-09-15T00:00:00.000Z,c9e2d0b1-3295-4f3b-b91d-1d8b71d34e54
1099,9,FM,Federated States of Micronesia,0,2001-09-10T00:00:00.000Z,Major Disaster,FM-Toxic Substance-08-20-2001,Toxic Substances,2001-07-01T00:00:00.000Z,2001-08-26T00:00:00.000Z,Turndown,2001-10-29T00:00:00.000Z,0,0,1,0,2001082001,2001-08-20T00:00:00.000Z,6d478ff3-a505-4050-b7f6-29b1460bb684
1101,4,FL,Florida                       ,0,2001-10-17T00:00:00.000Z,Emergency,Fires and Explosions,Fire,2001-09-11T00:00:00.000Z,,Turndown,2001-11-07T00:00:00.000Z,0,0,1,0,2001091102,2001-09-11T00:00:00.000Z,8e2ed567-92a7-497e-ae46-5fa21a68e67f
1102,6,TX,Texas                         ,0,2001-10-25T00:00:00.000Z,Major Disaster,TX-Severe Storms & Tornadoes-10-12-01,Severe Storm,2001-10-12T00:00:00.000Z,2001-10-13T00:00:00.000Z,Turndown,2001-11-27T00:00:00.000Z,0,1,1,1,2001101303,2001-10-12T00:00:00.000Z,f76c54c1-af5e-4cec-b461-80af2baf7d52
1114,6,TX,Texas                         ,0,2001-11-30T00:00:00.000Z,Major Disaster,TX-Severe Storms & Flooding-11-15-01,Severe Storm,2001-11-15T00:00:00.000Z,2001-11-18T00:00:00.000Z,Turndown,2002-01-09T00:00:00.000Z,0,1,1,1,2001111601,2001-11-15T00:00:00.000Z,a4f832fd-d5bf-42eb-b141-3b3b1b840449
1115,4,FL,Florida                       ,0,2001-12-04T00:00:00.000Z,Major Disaster,Red Tide (micro algae Karenia brevis),Other,2001-10-16T00:00:00.000Z,,Turndown,2002-03-13T00:00:00.000Z,0,0,0,0,2001120601,2001-10-16T00:00:00.000Z,461dbdd5-b0e5-4c68-b90a-ec6d6c9a5a6f
2017,4,TN,Tennessee                     ,0,2002-02-06T00:00:00.000Z,Major Disaster,TN - Severe Weather System with Flooding,Severe Storm,2002-01-23T00:00:00.000Z,,Turndown,2002-02-19T00:00:00.000Z,0,0,1,0,2002012401,2002-01-22T00:00:00.000Z,f453fd2d-ae8b-4c62-a1d7-54e6d15a3ca0
